Airport,City,CountOfFlights,IATA,Latitude,Longitude,PathId,PointOrder
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",0,ATL,33.63669967651367,-84.4281005859375,778,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",377,CVG,39.0488014221,-84.6678009033,779,0
Hartsfield Jackson Atlanta International Airport,"Atlanta, GA",0,ATL,33.63669967651367,-84.4281005859375,779,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",84,CVG,39.0488014221,-84.6678009033,780,0
Nashville International Airport,"Nashville, TN",0,BNA,36.1245002746582,-86.6781997680664,780,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",76,CVG,39.0488014221,-84.6678009033,781,0
General Edward Lawrence Logan International Airport,"Boston, MA",0,BOS,42.36429977,-71.00520325,781,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",5,CVG,39.0488014221,-84.6678009033,782,0
Baltimore/Washington International Thurgood Marshall Airport,"Baltimore, MD",0,BWI,39.17539978,-76.66829681,782,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",3,CVG,39.0488014221,-84.6678009033,783,0
Charlotte Douglas International Airport,"Charlotte, NC",0,CLT,35.2140007019043,-80.94309997558594,783,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",5,CVG,39.0488014221,-84.6678009033,784,0
Ronald Reagan Washington National Airport,"Washington, DC",0,DCA,38.8521,-77.037697,784,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",151,CVG,39.0488014221,-84.6678009033,785,0
Denver International Airport,"Denver, CO",0,DEN,39.861698150635,-104.672996521,785,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",52,CVG,39.0488014221,-84.6678009033,786,0
Detroit Metropolitan Wayne County Airport,"Detroit, MI",0,DTW,42.212398529052734,-83.35340118408203,786,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",14,CVG,39.0488014221,-84.6678009033,787,0
Newark Liberty International Airport,"Newark, NJ",0,EWR,40.69250106811523,-74.168701171875,787,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",71,CVG,39.0488014221,-84.6678009033,788,0
Fort Lauderdale Hollywood International Airport,"Fort Lauderdale, FL",0,FLL,26.072599411010746,-80.15270233154297,788,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",51,CVG,39.0488014221,-84.6678009033,789,0
George Bush Intercontinental Houston Airport,"Houston, TX",0,IAH,29.98439979553223,-95.34140014648438,789,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",111,CVG,39.0488014221,-84.6678009033,790,0
McCarran International Airport,"Las Vegas, NV",0,LAS,36.08010101,-115.15200039999999,790,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",99,CVG,39.0488014221,-84.6678009033,791,0
Los Angeles International Airport,"Los Angeles, CA",0,LAX,33.94250107,-118.40799709999999,791,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",4,CVG,39.0488014221,-84.6678009033,792,0
Kansas City International Airport,"Kansas City, MO",0,MCI,39.2976,-94.713898,792,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",185,CVG,39.0488014221,-84.6678009033,793,0
Orlando International Airport,"Orlando, FL",0,MCO,28.429399490356445,-81.30899810791016,793,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",3,CVG,39.0488014221,-84.6678009033,794,0
Memphis International Airport,"Memphis, TN",0,MEM,35.04240036010742,-89.97669982910156,794,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",47,CVG,39.0488014221,-84.6678009033,795,0
General Mitchell International Airport,"Milwaukee, WI",0,MKE,42.94720077514648,-87.89659881591797,795,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",57,CVG,39.0488014221,-84.6678009033,796,0
Minneapolis-St Paul International/Wold-Chamberlain Airport,"Minneapolis, MN",0,MSP,44.8819999695,-93.22180175780001,796,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",217,CVG,39.0488014221,-84.6678009033,797,0
Chicago O'Hare International Airport,"Chicago, IL",0,ORD,41.97859955,-87.90480042,797,1
Cincinnati Northern Kentucky International Airport,"Cincinnati, OH",51,CVG,39.0488014221,-84.6678009033,798,0
